Year,LE_Both,LE_Female,LE_Male,HALE_Both,HALE_Female,HALE_Male,PM25,Alcohol,Tob_Both,Tob_Female,Tob_Male,Cig_Both,Cig_Female,Cig_Male,NCD_Both,NCD_Female,NCD_Male
2000,71.51130083,76.39707442,67.1529967,62.39598989,65.65958048,59.47009235,26.236543083,1.52,27.9,9.3,47.0,11.9,0.8,23.2,22.5,16.5,28.5
2001,72.65351771,77.33544437,68.41648225,63.30093251,66.36559008,60.51625528,26.236543083,1.78,27.52,8.88,46.78,11.780000000000001,0.74,23.099999999999998,21.2,15.2,27.1
2002,73.3381305,77.60836362,69.39977998,63.87509448,66.59503498,61.35997593,26.236543083,1.66,27.14,8.46,46.56,11.66,0.68,23.0,20.5,14.8,26.4
2003,73.36803088,77.57506155,69.47318965,63.93344308,66.59081171,61.46759308,26.236543083,1.75,26.759999999999998,8.040000000000001,46.339999999999996,11.540000000000001,0.62,22.9,20.7,14.7,26.7
2004,69.11941478,71.78630957,66.56483004,60.39277782,61.8402072,59.00952618,26.236543083,1.55,26.38,7.62,46.12,11.42,0.56,22.8,20.1,14.6,25.8
2005,73.48476487,77.77751081,69.50492375,64.02599873,66.70485115,61.53753767,26.236543083,1.97,26.0,7.2,45.9,11.3,0.5,22.7,20.9,14.6,27.4
2006,73.35813965,77.64857465,69.33964765,63.92951142,66.64857478,61.3748855,26.236543083,1.96,25.65,6.85,45.55,11.15,0.45,22.5,20.1,14.4,25.9
2007,73.81640208,77.94830516,69.89573038,64.31230485,66.91099459,61.83989832,26.236543083,2.29,25.3,6.5,45.2,11.0,0.4,22.3,19.3,13.9,24.9
2008,73.1378661,77.78565083,68.7639252,63.74989029,66.80040289,60.86479695,26.236543083,2.1,24.933333333333334,6.2,44.9,10.866666666666667,0.3666666666666667,22.133333333333333,19.2,13.6,25.0
2009,72.41934945,76.56516352,68.41648374,63.09452782,65.79840022,60.47369591,26.236543083,2.05,24.566666666666666,5.8999999999999995,44.6,10.733333333333333,0.3333333333333333,21.96666666666667,18.7,14.0,23.7
2010,74.13617419,78.25157986,70.14903723,64.52185956,67.159534,61.95682437,26.236543083,2.31,24.2,5.6,44.3,10.6,0.3,21.8,18.2,13.4,23.5
2011,74.95837466,78.55435494,71.42337784,65.23811462,67.42096398,63.08857146,25.085913142,2.64,23.9,5.34,44.019999999999996,10.5,0.27999999999999997,21.64,18.3,13.4,23.6
2012,75.63306733,78.99675507,72.27598262,65.76099146,67.74384716,63.77985973,26.050007365,2.87,23.599999999999998,5.08,43.739999999999995,10.4,0.26,21.48,17.6,13.0,22.7
2013,75.82006448,79.07526249,72.53261698,65.91499156,67.80061997,64.00937317,25.099069315,2.63,23.3,4.82,43.46,10.299999999999999,0.24,21.32,17.5,12.9,22.7
2014,76.17612763,79.27126977,72.99292073,66.18862004,67.94085234,64.38472077,22.841751431,2.44,23.0,4.56,43.18,10.2,0.22,21.16,17.2,12.7,22.1
2015,76.44590803,79.52421201,73.24371024,66.39367539,68.12457809,64.59045909,23.34381617,2.7,22.7,4.3,42.9,10.1,0.2,21.0,16.9,12.5,21.8
2016,76.7665914,79.73513931,73.62061812,66.61393162,68.26775744,64.85797972,24.058522809,2.63,22.439999999999998,4.12,42.58,10.02,0.18000000000000002,20.84,16.4,12.3,20.9
2017,76.91196371,79.86196019,73.75718966,66.72183611,68.36287017,64.96334059,24.872906796,2.56,22.18,3.94,42.26,9.94,0.16,20.68,16.2,12.2,20.7
2018,77.17579214,80.0942993,74.02485503,66.91540428,68.53380815,65.16452654,24.312304056,2.618650033,21.919999999999998,3.76,41.94,9.86,0.14,20.52,16.0,12.1,20.4
2019,77.45083261,80.33001892,74.31605462,67.08723464,68.68553996,65.34586198,22.364959585,2.614641676,21.66,3.58,41.62,9.78,0.12000000000000001,20.36,15.6,11.9,19.7
2020,80.65621609,83.14918447,77.81550213,69.25131518,70.50907398,67.81632632,18.607444859,2.632844504,21.4,3.4,41.3,9.7,0.1,20.2,12.0,8.9,15.5
2021,77.22895472,80.05458522,74.15829356,66.72826261,68.26463028,65.05588589,19.539457079,2.636106002,21.25,3.2,41.05,9.6,0.1,19.95,13.9,10.8,17.4
2022,78.72538188805186,81.26826313961038,75.81492079935049,68.06101044311669,69.36879165194796,66.5400290612987,20.821621808,2.624610453,21.1,3.0,40.8,9.5,0.1,19.7,13.9,10.8,17.4
2023,79.06684994219074,81.51559795787688,76.21290542182373,68.32581487706358,69.55608371812525,66.86000001998866,21.231486885,2.624610453,20.6,2.9,40.2,9.4,0.1,19.6,13.9,10.8,17.4
2024,79.40831799632963,81.76293277614337,76.61089004429687,68.59061931101047,69.74337578430254,67.17997097867874,21.231486885,2.624610453,20.5,2.7,40.0,9.3,0.1,19.4,13.9,10.8,17.4
2025,79.74978605046851,82.01026759440987,77.00887466677,68.85542374495748,69.93066785047984,67.4999419373687,21.231486885,2.624610453,20.3,2.6,39.7,9.2,0.1,19.3,13.9,10.8,17.4
2026,80.0912541046074,82.25760241267636,77.40685928924324,69.12022817890437,70.11795991665713,67.81991289605867,21.231486885,2.624610453,20.1,2.48,39.440000000000005,9.139999999999999,0.08,19.14,13.9,10.8,17.4
